,person:648,person:652,person:703,handbag:723,person:778,person:675,bird:799,person:803,person:811,bird:808,bird:820,bird:824,person:838,bird:807
person:648,0,900,1732,812,1968,2199,1661,1440,1320,1158,1010,953,200,1435
person:652,900,0,2633,91,2869,3100,1155,2341,424,1099,1360,633,702,2261
person:703,1732,2633,0,2544,239,473,3192,303,3053,2506,2025,2552,1932,912
handbag:723,812,91,2544,0,2781,3011,1163,2252,509,1050,1285,593,613,2169
person:778,1968,2869,239,2781,0,233,3402,530,3288,2708,2214,2773,2168,1033
person:675,2199,3100,473,3011,233,0,3610,759,3518,2908,2405,2991,2398,1183
bird:799,1661,1155,3192,1163,3402,3610,0,2891,1032,720,1255,709,1500,2517
person:803,1440,2341,303,2252,530,759,2891,0,2759,2208,1736,2249,1639,715
person:811,1320,424,3053,509,3288,3518,1032,2759,0,1244,1625,795,1120,2642
bird:808,1158,1099,2506,1050,2708,2908,720,2208,1244,0,535,470,1059,1798
bird:820,1010,1360,2025,1285,2214,2405,1255,1736,1625,535,0,842,1007,1269
bird:824,953,633,2552,593,2773,2991,709,2249,795,470,842,0,791,1979
person:838,200,702,1932,613,2168,2398,1500,1639,1120,1059,1007,791,0,1599
bird:807,1435,2261,912,2169,1033,1183,2517,715,2642,1798,1269,1979,1599,0
