,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,person:673,person:675,bird:695,person:703,bird:707,bird:708
person:377,0,531,615,398,2097,2887,499,697,242,2461,744,2357,1122
person:566,531,0,84,924,2620,3410,1004,180,290,2874,1271,2820,1455
person:587,615,84,0,1006,2701,3491,1084,121,374,2935,1353,2889,1509
person:641,398,924,1006,0,1698,2489,140,1094,638,2123,347,1985,905
person:648,2097,2620,2701,1698,0,790,1618,2792,2337,1279,1353,855,1618
person:652,2887,3410,3491,2489,790,0,2408,3583,3127,1531,2143,1121,2339
backpack:658,499,1004,1084,140,1618,2408,0,1180,728,1989,300,1862,771
person:673,697,180,121,1094,2792,3583,1180,0,455,3052,1441,3000,1629
person:675,242,290,374,638,2337,3127,728,455,0,2653,985,2571,1268
bird:695,2461,2874,2935,2123,1279,1531,1989,3052,2653,0,1884,440,1441
person:703,744,1271,1353,347,1353,2143,300,1441,985,1884,0,1698,882
bird:707,2357,2820,2889,1985,855,1121,1862,3000,2571,440,1698,0,1474
bird:708,1122,1455,1509,905,1618,2339,771,1629,1268,1441,882,1474,0
