,person:2,person:3,person:5,person:119,backpack:137,handbag:363,person:370,person:377,bird:443,bird:460,bird:383,person:468,bird:470,bird:472
person:2,0,1658,470,2518,1716,117,778,2773,2844,774,1354,1308,1160,986
person:3,1658,0,1187,860,114,1615,2434,1118,1443,1975,2431,350,1450,1765
person:5,470,1187,0,2047,1247,436,1247,2304,2412,985,1556,838,997,1007
person:119,2518,860,2047,0,808,2475,3294,267,1088,2795,3202,1209,2169,2538
backpack:137,1716,114,1247,808,0,1680,2494,1058,1483,2065,2532,413,1559,1867
handbag:363,117,1615,436,2475,1680,0,821,2734,2763,682,1266,1268,1044,872
person:370,778,2434,1247,3294,2494,821,0,3551,3554,913,1274,2085,1654,1310
person:377,2773,1118,2304,267,1058,2734,3551,0,1175,3063,3469,1466,2434,2805
bird:443,2844,1443,2412,1088,1483,2763,3554,1175,0,2823,3051,1710,2040,2459
bird:460,774,1975,985,2795,2065,682,913,3063,2823,0,586,1664,803,409
bird:383,1354,2431,1556,3202,2532,1266,1274,3469,3051,586,0,2153,1046,667
person:468,1308,350,838,1209,413,1268,2085,1466,1710,1664,2153,0,1231,1495
bird:470,1160,1450,997,2169,1559,1044,1654,2434,2040,803,1046,1231,0,419
bird:472,986,1765,1007,2538,1867,872,1310,2805,2459,409,667,1495,419,0
