,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870
person:648,0,884,1749,801,1995,2215,1449,1341,334,1098
person:652,884,0,2634,86,2879,3100,2333,458,597,1905
person:703,1749,2634,0,2551,247,471,311,3090,2055,1033
handbag:723,801,86,2551,0,2796,3016,2250,539,523,1819
person:778,1995,2879,247,2796,0,224,549,3335,2302,1224
person:675,2215,3100,471,3016,224,0,766,3554,2524,1402
person:803,1449,2333,311,2250,549,766,0,2788,1762,753
person:811,1341,458,3090,539,3335,3554,2788,0,1054,2328
handbag:838,334,597,2055,523,2302,2524,1762,1054,0,1429
bird:870,1098,1905,1033,1819,1224,1402,753,2328,1429,0
