,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:824,bird:808
person:648,0,894,1750,812,1968,2204,1439,1327,1134,209,1295,1366
person:652,894,0,2645,86,2863,3099,2334,436,1258,686,726,1018
person:703,1750,2645,0,2563,223,462,325,3078,2344,1959,2942,2874
handbag:723,812,86,2563,0,2780,3016,2250,516,1197,603,729,998
person:778,1968,2863,223,2780,0,238,531,3295,2515,2177,3143,3062
person:675,2204,3099,462,3016,238,0,766,3531,2715,2413,3366,3275
person:803,1439,2334,325,2250,531,766,0,2765,2027,1647,2617,2550
person:811,1327,436,3078,516,3295,3531,2765,0,1465,1118,671,1034
bird:820,1134,1258,2344,1197,2515,2715,2027,1465,0,1089,901,634
person:838,209,686,1959,603,2177,2413,1647,1118,1089,0,1118,1227
bird:824,1295,726,2942,729,3143,3366,2617,671,901,1118,0,365
bird:808,1366,1018,2874,998,3062,3275,2550,1034,634,1227,365,0
