,person:1,person:2,person:3,person:4,person:5,person:6,bird:7,person:9,bird:10,bird:12,bird:24,bird:26
person:1,0,842,3002,2167,1261,3354,1244,2350,2243,1031,1117,1680
person:2,842,0,2163,1336,425,2514,1694,1513,1623,937,1259,1006
person:3,3002,2163,0,846,1740,352,3490,653,1554,2546,2903,1589
person:4,2167,1336,846,0,911,1197,2670,203,1040,1725,2091,811
person:5,1261,425,1740,911,0,2092,1960,1089,1325,1077,1446,717
person:6,3354,2514,352,1197,2092,0,3829,1005,1827,2887,3240,1923
bird:7,1244,1694,3490,2670,1960,3829,0,2873,2209,945,591,1907
person:9,2350,1513,653,203,1089,1005,2873,0,1172,1928,2294,1007
bird:10,2243,1623,1554,1040,1325,1827,2209,1172,0,1370,1633,619
bird:12,1031,937,2546,1725,1077,2887,945,1928,1370,0,375,972
bird:24,1117,1259,2903,2091,1446,3240,591,2294,1633,375,0,1317
bird:26,1680,1006,1589,811,717,1923,1907,1007,619,972,1317,0
