,person:3,person:119,person:377,person:468,bird:555,person:566,person:583,person:587,person:596,person:602,bird:554,person:578,bird:537,bird:579
person:3,0,1536,1981,845,1461,2270,1752,2378,558,1181,2117,430,1766,746
person:119,1536,0,445,2378,2086,736,216,848,987,2717,1185,1965,1011,2024
person:377,1981,445,0,2822,2438,305,233,423,1430,3161,1204,2409,1158,2456
person:468,845,2378,2822,0,1789,3114,2594,3222,1392,343,2895,414,2542,864
bird:555,1461,2086,2438,1789,0,2616,2232,2679,1621,1944,1748,1583,1476,926
person:566,2270,736,305,3114,2616,0,520,118,1724,3451,1192,2700,1236,2711
person:583,1752,216,233,2594,2232,520,0,632,1204,2933,1141,2181,1031,2223
person:587,2378,848,423,3222,2679,118,632,0,1834,3559,1193,2808,1270,2803
person:596,558,987,1430,1392,1621,1724,1204,1834,0,1732,1739,980,1410,1180
person:602,1181,2717,3161,343,1944,3451,2933,3559,1732,0,3188,752,2835,1052
bird:554,2117,1185,1204,2895,1748,1192,1141,1193,1739,3188,0,2509,353,2215
person:578,430,1965,2409,414,1583,2700,2181,2808,980,752,2509,0,2156,691
bird:537,1766,1011,1158,2542,1476,1236,1031,1270,1410,2835,353,2156,0,1871
bird:579,746,2024,2456,864,926,2711,2223,2803,1180,1052,2215,691,1871,0
