,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,bird:820,person:838,bird:808,bird:824
person:648,0,889,1750,817,1974,2205,1443,1329,1157,221,1461,1428
person:652,889,0,2639,80,2864,3095,2333,443,1165,669,1018,777
person:703,1750,2639,0,2567,228,462,319,3079,2459,1971,3004,3092
handbag:723,817,80,2567,0,2791,3021,2259,512,1107,596,1000,786
person:778,1974,2864,228,2791,0,234,534,3303,2645,2195,3204,3303
person:675,2205,3095,462,3021,234,0,762,3533,2841,2425,3411,3520
person:803,1443,2333,319,2259,534,762,0,2771,2145,1663,2685,2772
person:811,1329,443,3079,512,3303,3533,2771,0,1344,1108,973,625
bird:820,1157,1165,2459,1107,2645,2841,2145,1344,0,1078,630,902
person:838,221,669,1971,596,2195,2425,1663,1108,1078,0,1297,1231
bird:808,1461,1018,3004,1000,3204,3411,2685,973,630,1297,0,368
bird:824,1428,777,3092,786,3303,3520,2772,625,902,1231,368,0
