,person:1,person:2,person:3,person:4,person:5,person:9,person:66,bird:71,bird:72,person:73,bird:45
person:1,0,849,2846,2049,1308,2348,3179,3085,922,3400,1128
person:2,849,0,2001,1213,461,1506,2334,2328,625,2558,1023
person:3,2846,2001,0,805,1540,500,332,952,2167,562,2388
person:4,2049,1213,805,0,757,306,1135,1228,1372,1351,1627
person:5,1308,461,1540,757,0,1046,1873,1917,823,2098,1190
person:9,2348,1506,500,306,1046,0,831,1080,1676,1052,1919
person:66,3179,2334,332,1135,1873,831,0,970,2489,241,2695
bird:71,3085,2328,952,1228,1917,1080,970,0,2227,956,2292
bird:72,922,625,2167,1372,823,1676,2489,2227,0,2686,399
person:73,3400,2558,562,1351,2098,1052,241,956,2686,0,2872
bird:45,1128,1023,2388,1627,1190,1919,2695,2292,399,2872,0
