,person:1,person:2,person:3,person:4,person:5,person:9,person:66,person:73,person:119,handbag:137,bird:151,bird:97
person:1,0,875,2471,1790,1447,2195,2939,3392,3217,2650,2685,1679
person:2,875,0,1601,927,574,1325,2069,2532,2350,1777,1901,1046
person:3,2471,1601,0,682,1028,276,468,939,748,201,774,1230
person:4,1790,927,682,0,363,411,1150,1605,1426,870,1064,766
person:5,1447,574,1028,363,0,751,1494,1961,1776,1203,1404,826
person:9,2195,1325,276,411,751,0,744,1214,1025,459,877,1044
person:66,2939,2069,468,1150,1494,744,0,500,290,302,859,1630
person:73,3392,2532,939,1605,1961,1214,500,0,219,799,982,1962
person:119,3217,2350,748,1426,1776,1025,290,219,0,592,943,1845
handbag:137,2650,1777,201,870,1203,459,302,799,592,0,866,1429
bird:151,2685,1901,774,1064,1404,877,859,982,943,866,0,1073
bird:97,1679,1046,1230,766,826,1044,1630,1962,1845,1429,1073,0
