,person:648,person:652,person:703,handbag:723,person:778,person:675,person:803,person:811,handbag:838,bird:870,bird:873
person:648,0,875,1757,782,2003,2224,1465,1327,326,1010,952
person:652,875,0,2633,95,2878,3100,2340,455,593,1784,1453
person:703,1757,2633,0,2540,246,471,302,3085,2056,1164,1787
handbag:723,782,95,2540,0,2786,3006,2247,545,510,1689,1367
person:778,2003,2878,246,2786,0,227,542,3330,2302,1368,1993
person:675,2224,3100,471,3006,227,0,759,3551,2526,1545,2167
person:803,1465,2340,302,2247,542,759,0,2791,1770,885,1501
person:811,1327,455,3085,545,3330,3551,2791,0,1048,2196,1794
handbag:838,326,593,2056,510,2302,2526,1770,1048,0,1329,1187
bird:870,1010,1784,1164,1689,1368,1545,885,2196,1329,0,624
bird:873,952,1453,1787,1367,1993,2167,1501,1794,1187,624,0
