,person:3,person:119,person:377,person:468,person:566,person:583,person:587,person:596,bird:554,bird:537,bird:625,bird:615
person:3,0,1927,2362,678,2672,2155,2782,959,2366,1929,1455,1083
person:119,1927,0,436,2603,746,227,861,974,1361,1177,2843,2758
person:377,2362,436,0,3037,326,211,449,1406,1463,1405,3250,3186
person:468,678,2603,3037,0,3349,2831,3460,1631,2973,2537,1396,883
person:566,2672,746,326,3349,0,520,123,1721,1487,1524,3492,3459
person:583,2155,227,211,2831,520,0,636,1201,1376,1262,3045,2975
person:587,2782,861,449,3460,123,636,0,1835,1494,1565,3573,3553
person:596,959,974,1406,1631,1721,1201,1835,0,1743,1350,2091,1891
bird:554,2366,1361,1463,2973,1487,1376,1494,1743,0,437,2520,2695
bird:537,1929,1177,1405,2537,1524,1262,1565,1350,437,0,2164,2294
bird:625,1455,2843,3250,1396,3492,3045,3573,2091,2520,2164,0,524
bird:615,1083,2758,3186,883,3459,2975,3553,1891,2695,2294,524,0
