,person:1,person:2,person:3,person:4,person:5,person:6,person:9,bird:12,bird:15,bird:7
person:1,0,836,2962,2149,1270,3342,2386,1038,2070,1344
person:2,836,0,2129,1324,436,2508,1555,1090,1399,1812
person:3,2962,2129,0,823,1693,380,578,2705,1381,3569
person:4,2149,1324,823,0,891,1202,247,1911,796,2775
person:5,1270,436,1693,891,0,2072,1120,1304,1098,2115
person:6,3342,2508,380,1202,2072,0,958,3071,1707,3933
person:9,2386,1555,578,247,1120,958,0,2154,957,3019
bird:12,1038,1090,2705,1911,1304,3071,2154,0,1457,864
bird:15,2070,1399,1381,796,1098,1707,957,1457,0,2287
bird:7,1344,1812,3569,2775,2115,3933,3019,864,2287,0
