,person:119,person:377,person:566,person:587,person:641,person:648,person:652,backpack:658,bird:672,person:673,person:675,bird:695,bird:702,person:703,bird:684
person:119,0,381,904,1000,268,1730,2491,348,2820,1100,626,1684,2495,448,665
person:377,381,0,529,627,648,2110,2871,725,3181,718,249,2007,2874,827,991
person:566,904,529,0,98,1172,2634,3396,1234,3639,230,280,2419,3372,1352,1439
person:587,1000,627,98,0,1268,2730,3491,1327,3720,181,377,2493,3461,1449,1522
person:641,268,648,1172,1268,0,1463,2224,144,2591,1366,894,1506,2241,180,528
person:648,1730,2110,2634,2730,1463,0,761,1408,1500,2828,2357,1224,930,1283,1354
person:652,2491,2871,3396,3491,2224,761,0,2168,1293,3588,3118,1684,649,2044,2086
backpack:658,348,725,1234,1327,144,1408,2168,0,2475,1439,962,1368,2149,194,384
bird:672,2820,3181,3639,3720,2591,1500,1293,2475,0,3863,3395,1270,656,2449,2201
person:673,1100,718,230,181,1366,2828,3588,1439,3863,0,477,2648,3585,1544,1662
person:675,626,249,280,377,894,2357,3118,962,3395,477,0,2196,3108,1074,1195
bird:695,1684,2007,2419,2493,1506,1224,1684,1368,1270,2648,2196,0,1263,1413,1021
bird:702,2495,2874,3372,3461,2241,930,649,2149,656,3585,3108,1263,0,2076,1956
person:703,448,827,1352,1449,180,1283,2044,194,2449,1544,1074,1413,2076,0,513
bird:684,665,991,1439,1522,528,1354,2086,384,2201,1662,1195,1021,1956,513,0
