,person:1,person:2,person:3,person:5,person:119,handbag:137,bird:298,handbag:363,bird:365,person:370,person:377,bird:383,person:66,bird:387,bird:346,bird:388
person:1,0,808,2370,1306,3353,2550,1677,855,1282,348,3522,1450,2668,1870,931,3440
person:2,808,0,1566,501,2550,1743,1438,151,1248,462,2717,1137,1865,1292,759,2679
person:3,2370,1566,0,1065,983,221,1936,1519,2145,2021,1152,1725,298,1192,1850,1229
person:5,1306,501,1065,0,2048,1244,1437,468,1411,958,2216,1136,1363,1024,974,2196
person:119,3353,2550,983,2048,0,820,2715,2501,3012,3004,176,2566,684,1952,2784,701
handbag:137,2550,1743,221,1244,820,0,2156,1707,2366,2202,980,1946,183,1407,2064,1183
bird:298,1677,1438,1936,1437,2715,2156,0,1290,472,1495,2888,306,2156,765,765,2458
handbag:363,855,151,1519,468,2501,1707,1290,0,1119,508,2672,988,1817,1152,633,2594
bird:365,1282,1248,2145,1411,3012,2366,472,1119,0,1168,3188,452,2400,1085,489,2835
person:370,348,462,2021,958,3004,2202,1495,508,1168,0,3173,1232,2319,1574,730,3099
person:377,3522,2717,1152,2216,176,980,2888,2672,3188,3173,0,2742,854,2126,2960,769
bird:383,1450,1137,1725,1136,2566,1946,306,988,452,1232,2742,0,1968,634,519,2384
person:66,2668,1865,298,1363,684,183,2156,1817,2400,2319,854,1968,0,1395,2130,1000
bird:387,1870,1292,1192,1024,1952,1407,765,1152,1085,1574,2126,634,1395,0,1011,1751
bird:346,931,759,1850,974,2784,2064,765,633,489,730,2960,519,2130,1011,0,2718
bird:388,3440,2679,1229,2196,701,1183,2458,2594,2835,3099,769,2384,1000,1751,2718,0
