,Unnamed: 0,person1,bench3,person2,filename
1,person2,529,160,0.0,3
2,bench3,688,0,160.0,3
0,person1,0,731,352.0,45
1,person2,352,383,0.0,45
2,bench3,731,0,383.0,45
0,person1,0,738,,193
1,bench3,738,0,,193
0,person1,0,705,121.0,187
1,bench3,705,0,767.0,187
2,person2,121,767,0.0,187
0,person1,0,758,259.0,79
1,person2,259,505,0.0,79
2,bench3,758,0,505.0,79
0,person1,0,700,118.0,186
1,bench3,700,0,765.0,186
2,person2,118,765,0.0,186
0,person1,0,755,260.0,78
1,person2,260,501,0.0,78
2,bench3,755,0,501.0,78
0,person1,0,733,,192
1,bench3,733,0,,192
0,person1,0,732,358.0,44
1,person2,358,378,0.0,44
2,bench3,732,0,378.0,44
0,person1,0,723,321.0,50
1,person2,321,410,0.0,50
2,bench3,723,0,410.0,50
0,person1,0,682,536.0,2
1,person2,536,148,0.0,2
2,bench3,682,0,148.0,2
0,person1,0,638,,145
1,bench3,638,0,,145
0,person1,0,641,139.0,151
1,bench3,641,0,710.0,151
2,person2,139,710,0.0,151
0,person1,0,680,137.0,179
1,bench3,680,0,742.0,179
2,person2,137,742,0.0,179
0,person1,0,796,272.0,87
1,person2,272,530,0.0,87
2,bench3,796,0,530.0,87
0,person1,0,797,258.0,93
1,person2,258,545,0.0,93
2,bench3,797,0,545.0,93
0,person1,0,673,,136
1,bench3,673,0,,136
0,person1,0,724,115.0,122
1,person2,115,635,0.0,122
2,bench3,724,0,635.0,122
0,person1,0,736,385.0,37
1,person2,385,354,0.0,37
2,bench3,736,0,354.0,37
0,person1,0,767,497.0,23
1,person2,497,270,0.0,23
2,bench3,767,0,270.0,23
0,person1,0,769,502.0,22
1,person2,502,267,0.0,22
2,bench3,769,0,267.0,22
0,person1,0,739,392.0,36
1,person2,392,349,0.0,36
2,bench3,739,0,349.0,36
0,person1,0,723,116.0,123
1,person2,116,635,0.0,123
2,bench3,723,0,635.0,123
0,person1,0,668,,137
1,bench3,668,0,,137
0,person1,0,727,111.0,121
1,person2,111,639,0.0,121
2,bench3,727,0,639.0,121
0,person1,0,679,,135
1,bench3,679,0,,135
0,person1,0,756,158.0,109
1,person2,158,615,0.0,109
2,bench3,756,0,615.0,109
0,person1,0,775,514.0,20
1,person2,514,262,0.0,20
2,bench3,775,0,262.0,20
0,person1,0,742,404.0,34
1,person2,404,341,0.0,34
2,bench3,742,0,341.0,34
0,person1,0,741,398.0,35
1,person2,398,346,0.0,35
2,bench3,741,0,346.0,35
0,person1,0,771,508.0,21
1,person2,508,263,0.0,21
2,bench3,771,0,263.0,21
0,person1,0,759,161.0,108
1,person2,161,613,0.0,108
2,bench3,759,0,613.0,108
0,person1,0,685,,134
1,bench3,685,0,,134
0,person1,0,730,109.0,120
1,person2,109,644,0.0,120
2,bench3,730,0,644.0,120
0,person1,0,738,128.0,118
1,person2,128,637,0.0,118
2,bench3,738,0,637.0,118
0,person1,0,722,119.0,124
1,person2,119,633,0.0,124
2,bench3,722,0,633.0,124
0,person1,0,705,,130
1,bench3,705,0,,130
0,person1,0,764,483.0,25
1,person2,483,281,0.0,25
2,bench3,764,0,281.0,25
0,person1,0,746,418.0,31
1,person2,418,332,0.0,31
2,bench3,746,0,332.0,31
0,person1,0,780,520.0,19
1,person2,520,261,0.0,19
2,bench3,780,0,261.0,19
0,person1,0,783,519.0,18
1,person2,519,264,0.0,18
2,bench3,783,0,264.0,18
0,person1,0,750,425.0,30
1,person2,425,329,0.0,30
2,bench3,750,0,329.0,30
0,person1,0,765,491.0,24
1,person2,491,275,0.0,24
2,bench3,765,0,275.0,24
0,person1,0,701,,131
1,bench3,701,0,,131
0,person1,0,721,131.0,125
1,person2,131,633,0.0,125
2,bench3,721,0,633.0,125
0,person1,0,735,124.0,119
1,person2,124,640,0.0,119
2,bench3,735,0,640.0,119
0,person1,0,690,,133
1,bench3,690,0,,133
0,person1,0,717,,127
1,bench3,717,0,,127
0,person1,0,743,413.0,32
1,person2,413,334,0.0,32
2,bench3,743,0,334.0,32
0,person1,0,760,470.0,26
1,person2,470,290,0.0,26
2,bench3,760,0,290.0,26
0,person1,0,756,455.0,27
1,person2,455,302,0.0,27
2,bench3,756,0,302.0,27
0,person1,0,742,409.0,33
1,person2,409,337,0.0,33
2,bench3,742,0,337.0,33
0,person1,0,719,134.0,126
1,person2,134,638,0.0,126
2,bench3,719,0,638.0,126
0,person1,0,695,,132
1,bench3,695,0,,132
0,person1,0,740,134.0,117
1,person2,134,633,0.0,117
2,bench3,740,0,633.0,117
0,person1,0,768,188.0,103
1,person2,188,597,0.0,103
2,bench3,768,0,597.0,103
0,person1,0,786,519.0,16
1,person2,519,267,0.0,16
2,bench3,786,0,267.0,16
0,person1,0,785,518.0,17
1,person2,518,267,0.0,17
2,bench3,785,0,267.0,17
0,person1,0,770,191.0,102
1,person2,191,593,0.0,102
2,bench3,770,0,593.0,102
