,Unnamed: 0,car:1,motorcycle:2,person:3,car:4,person:5,motorcycle:6,car:7,truck:4,person:4,car:8,car:10,car:13,motorcycle:10,car:15,person:8,truck:13
4,person:5,378.0,625,547,1173.0,0,122.0,,,,,,,,,,
5,motorcycle:6,405.0,562,543,1193.0,122,0.0,,,,,,,,,,
0,car:1,0.0,971,927,810.0,378,402.0,,,,,,,,,,
1,motorcycle:2,971.0,0,288,1763.0,628,569.0,,,,,,,,,,
2,person:3,927.0,288,0,1738.0,549,547.0,,,,,,,,,,
3,car:4,810.0,1763,1738,0.0,1189,1205.0,,,,,,,,,,
4,person:5,378.0,628,549,1189.0,0,120.0,,,,,,,,,,
5,motorcycle:6,402.0,569,547,1205.0,120,0.0,,,,,,,,,,
0,car:1,0.0,974,932,820.0,375,401.0,,,,,,,,,,
1,motorcycle:2,974.0,0,282,1775.0,635,574.0,,,,,,,,,,
2,person:3,932.0,282,0,1752.0,557,550.0,,,,,,,,,,
3,car:4,820.0,1775,1752,0.0,1195,1213.0,,,,,,,,,,
4,person:5,375.0,635,557,1195.0,0,118.0,,,,,,,,,,
5,motorcycle:6,401.0,574,550,1213.0,118,0.0,,,,,,,,,,
0,car:1,0.0,976,932,833.0,376,401.0,,,,,,,,,,
1,motorcycle:2,976.0,0,294,1789.0,638,575.0,,,,,,,,,,
2,person:3,932.0,294,0,1766.0,557,551.0,,,,,,,,,,
3,car:4,833.0,1789,1766,0.0,1209,1227.0,,,,,,,,,,
4,person:5,376.0,638,557,1209.0,0,118.0,,,,,,,,,,
5,motorcycle:6,401.0,575,551,1227.0,118,0.0,,,,,,,,,,
0,car:1,0.0,978,935,846.0,383,403.0,,,,,,,,,,
1,motorcycle:2,978.0,0,288,1804.0,634,576.0,,,,,,,,,,
2,person:3,935.0,288,0,1781.0,553,550.0,,,,,,,,,,
3,car:4,846.0,1804,1781,0.0,1228,1242.0,,,,,,,,,,
4,person:5,383.0,634,553,1228.0,0,116.0,,,,,,,,,,
5,motorcycle:6,403.0,576,550,1242.0,116,0.0,,,,,,,,,,
0,car:1,0.0,978,936,855.0,386,403.0,,,,,,,,,,
