,Unnamed: 0,car:1,motorcycle:2,person:3,car:4,person:5,motorcycle:6,car:7,truck:4,person:4,car:8,car:10,car:13,motorcycle:10,car:15,person:8,truck:13
1,motorcycle:2,1086.0,0,372,2195.0,700,637.0,,,,,,,,,,
2,person:3,1036.0,372,0,2175.0,601,604.0,,,,,,,,,,
3,car:4,1139.0,2195,2175,0.0,1574,1585.0,,,,,,,,,,
4,person:5,435.0,700,601,1574.0,0,118.0,,,,,,,,,,
5,motorcycle:6,453.0,637,604,1585.0,118,0.0,,,,,,,,,,
0,car:1,0.0,1090,1041,1143.0,441,462.0,,,,,,,,,,
1,motorcycle:2,1090.0,0,378,2205.0,698,631.0,,,,,,,,,,
2,person:3,1041.0,378,0,2185.0,600,606.0,,,,,,,,,,
3,car:4,1143.0,2205,2185,0.0,1584,1597.0,,,,,,,,,,
4,person:5,441.0,698,600,1584.0,0,128.0,,,,,,,,,,
5,motorcycle:6,462.0,631,606,1597.0,128,0.0,,,,,,,,,,
0,car:1,0.0,1095,1049,,445,464.0,,,1154.0,,,,,,,
1,motorcycle:2,1095.0,0,386,,699,634.0,,,2217.0,,,,,,,
2,person:3,1049.0,386,0,,603,613.0,,,2203.0,,,,,,,
3,person:4,1154.0,2217,2203,,1600,1608.0,,,0.0,,,,,,,
4,person:5,445.0,699,603,,0,128.0,,,1600.0,,,,,,,
5,motorcycle:6,464.0,634,613,,128,0.0,,,1608.0,,,,,,,
0,car:1,0.0,1095,1052,,443,463.0,,,,,,,,,,
1,motorcycle:2,1095.0,0,392,,702,635.0,,,,,,,,,,
2,person:3,1052.0,392,0,,609,617.0,,,,,,,,,,
3,person:5,443.0,702,609,,0,126.0,,,,,,,,,,
4,motorcycle:6,463.0,635,617,,126,0.0,,,,,,,,,,
0,car:1,0.0,1097,1054,,443,466.0,,,,,,,,,,
1,motorcycle:2,1097.0,0,392,,704,633.0,,,,,,,,,,
2,person:3,1054.0,392,0,,611,618.0,,,,,,,,,,
3,person:5,443.0,704,611,,0,133.0,,,,,,,,,,
4,motorcycle:6,466.0,633,618,,133,0.0,,,,,,,,,,
0,car:1,0.0,1108,1064,,456,477.0,,,,,,,,,,
1,motorcycle:2,1108.0,0,392,,702,633.0,,,,,,,,,,
2,person:3,1064.0,392,0,,607,617.0,,,,,,,,,,
3,person:5,456.0,702,607,,0,132.0,,,,,,,,,,
4,motorcycle:6,477.0,633,617,,132,0.0,,,,,,,,,,
0,car:1,0.0,1108,1063,,457,474.0,,,,,,,,,,
1,motorcycle:2,1108.0,0,391,,701,637.0,,,,,,,,,,
2,person:3,1063.0,391,0,,606,619.0,,,,,,,,,,
3,person:5,457.0,701,606,,0,130.0,,,,,,,,,,
4,motorcycle:6,474.0,637,619,,130,0.0,,,,,,,,,,
0,car:1,0.0,1109,1063,,455,467.0,,,,,,,,,,
1,motorcycle:2,1109.0,0,386,,703,646.0,,,,,,,,,,
2,person:3,1063.0,386,0,,608,623.0,,,,,,,,,,
3,person:5,455.0,703,608,,0,123.0,,,,,,,,,,
4,motorcycle:6,467.0,646,623,,123,0.0,,,,,,,,,,
0,car:1,0.0,707,684,265.0,322,327.0,,,,,,,,,,
1,motorcycle:2,707.0,0,192,968.0,405,380.0,,,,,,,,,,
2,person:3,684.0,192,0,949.0,362,390.0,,,,,,,,,,
3,car:4,265.0,968,949,0.0,587,588.0,,,,,,,,,,
4,person:5,322.0,405,362,587.0,0,107.0,,,,,,,,,,
5,motorcycle:6,327.0,380,390,588.0,107,0.0,,,,,,,,,,
0,car:1,0.0,1111,1066,,451,461.0,,,,,,,,,,
1,motorcycle:2,1111.0,0,377,,710,654.0,,,,,,,,,,
2,person:3,1066.0,377,0,,614,629.0,,,,,,,,,,
3,person:5,451.0,710,614,,0,125.0,,,,,,,,,,
4,motorcycle:6,461.0,654,629,,125,0.0,,,,,,,,,,
0,car:1,0.0,1118,1074,,452,463.0,,,,,,,,,,
1,motorcycle:2,1118.0,0,375,,714,658.0,,,,,,,,,,
2,person:3,1074.0,375,0,,622,635.0,,,,,,,,,,
3,person:5,452.0,714,622,,0,124.0,,,,,,,,,,
4,motorcycle:6,463.0,658,635,,124,0.0,,,,,,,,,,
0,car:1,0.0,1121,1080,,459,471.0,,,,,,,,,,
1,motorcycle:2,1121.0,0,379,,711,653.0,,,,,,,,,,
2,person:3,1080.0,379,0,,620,634.0,,,,,,,,,,
3,person:5,459.0,711,620,,0,125.0,,,,,,,,,,
4,motorcycle:6,471.0,653,634,,125,0.0,,,,,,,,,,
0,car:1,0.0,1127,1089,,463,477.0,,,,,,,,,,
1,motorcycle:2,1127.0,0,369,,711,653.0,,,,,,,,,,
2,person:3,1089.0,369,0,,626,635.0,,,,,,,,,,
3,person:5,463.0,711,626,,0,123.0,,,,,,,,,,
4,motorcycle:6,477.0,653,635,,123,0.0,,,,,,,,,,
0,car:1,0.0,1128,1092,,461,470.0,,,,,,,,,,
1,motorcycle:2,1128.0,0,373,,712,660.0,,,,,,,,,,
2,person:3,1092.0,373,0,,631,646.0,,,,,,,,,,
3,person:5,461.0,712,631,,0,123.0,,,,,,,,,,
4,motorcycle:6,470.0,660,646,,123,0.0,,,,,,,,,,
0,car:1,0.0,1134,1099,,466,471.0,,,,,,,,,,
1,motorcycle:2,1134.0,0,370,,714,665.0,,,,,,,,,,
2,person:3,1099.0,370,0,,633,652.0,,,,,,,,,,
3,person:5,466.0,714,633,,0,122.0,,,,,,,,,,
4,motorcycle:6,471.0,665,652,,122,0.0,,,,,,,,,,
0,car:1,0.0,1145,1106,,472,474.0,,,,,,,,,,
1,motorcycle:2,1145.0,0,367,,719,674.0,,,,,,,,,,
2,person:3,1106.0,367,0,,634,655.0,,,,,,,,,,
3,person:5,472.0,719,634,,0,122.0,,,,,,,,,,
4,motorcycle:6,474.0,674,655,,122,0.0,,,,,,,,,,
0,car:1,0.0,1152,1113,,475,476.0,,,,,,,,,,
1,motorcycle:2,1152.0,0,376,,720,678.0,,,,,,,,,,
2,person:3,1113.0,376,0,,637,663.0,,,,,,,,,,
3,person:5,475.0,720,637,,0,123.0,,,,,,,,,,
4,motorcycle:6,476.0,678,663,,123,0.0,,,,,,,,,,
0,car:1,0.0,1150,1111,,476,478.0,,,,,,,,,,
1,motorcycle:2,1150.0,0,364,,715,675.0,,,,,,,,,,
2,person:3,1111.0,364,0,,635,658.0,,,,,,,,,,
3,person:5,476.0,715,635,,0,120.0,,,,,,,,,,
4,motorcycle:6,478.0,675,658,,120,0.0,,,,,,,,,,
0,car:1,0.0,1157,1117,,482,486.0,,,,,,,,,,
1,motorcycle:2,1157.0,0,354,,714,672.0,,,,,,,,,,
2,person:3,1117.0,354,0,,634,656.0,,,,,,,,,,
3,person:5,482.0,714,634,,0,121.0,,,,,,,,,,
4,motorcycle:6,486.0,672,656,,121,0.0,,,,,,,,,,
0,car:1,0.0,708,689,266.0,321,332.0,,,,,,,,,,
1,motorcycle:2,708.0,0,193,971.0,408,377.0,,,,,,,,,,
2,person:3,689.0,193,0,955.0,367,390.0,,,,,,,,,,
3,car:4,266.0,971,955,0.0,587,594.0,,,,,,,,,,
4,person:5,321.0,408,367,587.0,0,108.0,,,,,,,,,,
5,motorcycle:6,332.0,377,390,594.0,108,0.0,,,,,,,,,,
0,car:1,0.0,1167,1122,,485,495.0,,,,,,,,,,
1,motorcycle:2,1167.0,0,355,,721,673.0,,,,,,,,,,
2,person:3,1122.0,355,0,,637,654.0,,,,,,,,,,
3,person:5,485.0,721,637,,0,125.0,,,,,,,,,,
4,motorcycle:6,495.0,673,654,,125,0.0,,,,,,,,,,
0,car:1,0.0,1172,1125,,487,491.0,,,,,,,,,,
1,motorcycle:2,1172.0,0,353,,725,682.0,,,,,,,,,,
2,person:3,1125.0,353,0,,638,658.0,,,,,,,,,,
3,person:5,487.0,725,638,,0,123.0,,,,,,,,,,
4,motorcycle:6,491.0,682,658,,123,0.0,,,,,,,,,,
0,car:1,0.0,1174,1126,,490,501.0,,,,,,,,,,
1,motorcycle:2,1174.0,0,346,,721,674.0,,,,,,,,,,
2,person:3,1126.0,346,0,,636,649.0,,,,,,,,,,
3,person:5,490.0,721,636,,0,121.0,,,,,,,,,,
4,motorcycle:6,501.0,674,649,,121,0.0,,,,,,,,,,
0,car:1,0.0,1175,1132,,496,506.0,,,,,,,,,,
1,motorcycle:2,1175.0,0,336,,717,671.0,,,,,,,,,,
2,person:3,1132.0,336,0,,636,649.0,,,,,,,,,,
3,person:5,496.0,717,636,,0,120.0,,,,,,,,,,
4,motorcycle:6,506.0,671,649,,120,0.0,,,,,,,,,,
0,car:1,0.0,1178,1139,,501,509.0,,,,,,,,,,
1,motorcycle:2,1178.0,0,334,,713,669.0,,,,,,,,,,
2,person:3,1139.0,334,0,,637,654.0,,,,,,,,,,
3,person:5,501.0,713,637,,0,123.0,,,,,,,,,,
4,motorcycle:6,509.0,669,654,,123,0.0,,,,,,,,,,
0,car:1,0.0,1183,1145,,503,512.0,,,,,,,,,,
1,motorcycle:2,1183.0,0,343,,717,671.0,,,,,,,,,,
2,person:3,1145.0,343,0,,641,659.0,,,,,,,,,,
3,person:5,503.0,717,641,,0,126.0,,,,,,,,,,
4,motorcycle:6,512.0,671,659,,126,0.0,,,,,,,,,,
0,car:1,0.0,1193,1152,,507,517.0,,,,,,,,,,
1,motorcycle:2,1193.0,0,348,,727,677.0,,,,,,,,,,
2,person:3,1152.0,348,0,,645,660.0,,,,,,,,,,
3,person:5,507.0,727,645,,0,127.0,,,,,,,,,,
4,motorcycle:6,517.0,677,660,,127,0.0,,,,,,,,,,
0,car:1,0.0,1202,1159,,511,518.0,,,,,,,,,,
1,motorcycle:2,1202.0,0,367,,734,686.0,,,,,,,,,,
2,person:3,1159.0,367,0,,648,666.0,,,,,,,,,,
3,person:5,511.0,734,648,,0,126.0,,,,,,,,,,
4,motorcycle:6,518.0,686,666,,126,0.0,,,,,,,,,,
0,car:1,0.0,1206,1167,,519,528.0,,,,,,,,,,
1,motorcycle:2,1206.0,0,366,,730,680.0,,,,,,,,,,
2,person:3,1167.0,366,0,,647,666.0,,,,,,,,,,
3,person:5,519.0,730,647,,0,130.0,,,,,,,,,,
4,motorcycle:6,528.0,680,666,,130,0.0,,,,,,,,,,
0,car:1,0.0,1210,1172,,520,534.0,,,,,,,,,,
1,motorcycle:2,1210.0,0,363,,733,677.0,,,,,,,,,,
2,person:3,1172.0,363,0,,651,666.0,,,,,,,,,,
3,person:5,520.0,733,651,,0,133.0,,,,,,,,,,
4,motorcycle:6,534.0,677,666,,133,0.0,,,,,,,,,,
0,car:1,0.0,709,689,269.0,326,336.0,,,,,,,,,,
1,motorcycle:2,709.0,0,193,975.0,404,373.0,,,,,,,,,,
2,person:3,689.0,193,0,958.0,362,386.0,,,,,,,,,,
3,car:4,269.0,975,958,0.0,595,601.0,,,,,,,,,,
4,person:5,326.0,404,362,595.0,0,106.0,,,,,,,,,,
5,motorcycle:6,336.0,373,386,601.0,106,0.0,,,,,,,,,,
0,car:1,0.0,1222,1181,,527,539.0,,,,,,,,,,
1,motorcycle:2,1222.0,0,376,,741,684.0,,,,,,,,,,
2,person:3,1181.0,376,0,,654,672.0,,,,,,,,,,
3,person:5,527.0,741,654,,0,140.0,,,,,,,,,,
4,motorcycle:6,539.0,684,672,,140,0.0,,,,,,,,,,
0,car:1,0.0,1229,1189,,530,544.0,,,,,,,,,,
1,motorcycle:2,1229.0,0,380,,744,686.0,,,,,,,,,,
2,person:3,1189.0,380,0,,659,676.0,,,,,,,,,,
3,person:5,530.0,744,659,,0,140.0,,,,,,,,,,
4,motorcycle:6,544.0,686,676,,140,0.0,,,,,,,,,,
0,car:1,0.0,1235,1196,,531,546.0,,,,,,,,,,
1,motorcycle:2,1235.0,0,381,,749,691.0,,,,,,,,,,
2,person:3,1196.0,381,0,,664,680.0,,,,,,,,,,
3,person:5,531.0,749,664,,0,136.0,,,,,,,,,,
4,motorcycle:6,546.0,691,680,,136,0.0,,,,,,,,,,
0,car:1,0.0,1237,1201,,541,552.0,,,,,,,,,,
1,motorcycle:2,1237.0,0,379,,741,686.0,,,,,,,,,,
2,person:3,1201.0,379,0,,659,679.0,,,,,,,,,,
3,person:5,541.0,741,659,,0,137.0,,,,,,,,,,
4,motorcycle:6,552.0,686,679,,137,0.0,,,,,,,,,,
0,car:1,0.0,1244,1204,,538,556.0,,,,,,,,,,
1,motorcycle:2,1244.0,0,376,,748,689.0,,,,,,,,,,
2,person:3,1204.0,376,0,,666,678.0,,,,,,,,,,
3,person:5,538.0,748,666,,0,134.0,,,,,,,,,,
4,motorcycle:6,556.0,689,678,,134,0.0,,,,,,,,,,
0,car:1,0.0,1256,1217,,542,568.0,,,,,,,,,,
1,motorcycle:2,1256.0,0,377,,755,689.0,,,,,,,,,,
2,person:3,1217.0,377,0,,675,681.0,,,,,,,,,,
3,person:5,542.0,755,675,,0,139.0,,,,,,,,,,
4,motorcycle:6,568.0,689,681,,139,0.0,,,,,,,,,,
0,car:1,0.0,1266,1223,,549,575.0,,,,,,,,,,
1,motorcycle:2,1266.0,0,378,,761,693.0,,,,,,,,,,
2,person:3,1223.0,378,0,,674,681.0,,,,,,,,,,
3,person:5,549.0,761,674,,0,143.0,,,,,,,,,,
4,motorcycle:6,575.0,693,681,,143,0.0,,,,,,,,,,
0,car:1,0.0,1272,1231,,555,581.0,,,,,,,,,,
1,motorcycle:2,1272.0,0,383,,761,693.0,,,,,,,,,,
2,person:3,1231.0,383,0,,675,682.0,,,,,,,,,,
3,person:5,555.0,761,675,,0,141.0,,,,,,,,,,
4,motorcycle:6,581.0,693,682,,141,0.0,,,,,,,,,,
0,car:1,0.0,1275,1239,,562,579.0,,,,,,,,,,
1,motorcycle:2,1275.0,0,383,,758,700.0,,,,,,,,,,
2,person:3,1239.0,383,0,,676,683.0,,,,,,,,,,
3,person:5,562.0,758,676,,0,122.0,,,,,,,,,,
4,motorcycle:6,579.0,700,683,,122,0.0,,,,,,,,,,
0,car:1,0.0,1285,1248,,568,579.0,,,,,,,,,,
1,motorcycle:2,1285.0,0,393,,763,713.0,,,,,,,,,,
2,person:3,1248.0,393,0,,680,688.0,,,,,,,,,,
3,person:5,568.0,763,680,,0,107.0,,,,,,,,,,
4,motorcycle:6,579.0,713,688,,107,0.0,,,,,,,,,,
0,car:1,0.0,713,692,271.0,329,340.0,,,,,,,,,,
1,motorcycle:2,713.0,0,193,980.0,406,373.0,,,,,,,,,,
2,person:3,692.0,193,0,963.0,362,384.0,,,,,,,,,,
3,car:4,271.0,980,963,0.0,600,607.0,,,,,,,,,,
4,person:5,329.0,406,362,600.0,0,107.0,,,,,,,,,,
5,motorcycle:6,340.0,373,384,607.0,107,0.0,,,,,,,,,,
0,car:1,0.0,1286,1251,,569,583.0,,,,,,,,,,
1,motorcycle:2,1286.0,0,384,,760,706.0,,,,,,,,,,
2,person:3,1251.0,384,0,,682,692.0,,,,,,,,,,
3,person:5,569.0,760,682,,0,119.0,,,,,,,,,,
4,motorcycle:6,583.0,706,692,,119,0.0,,,,,,,,,,
0,car:1,0.0,1298,1260,,573,593.0,,,,,,,,,,
1,motorcycle:2,1298.0,0,397,,769,708.0,,,,,,,,,,
2,person:3,1260.0,397,0,,686,694.0,,,,,,,,,,
3,person:5,573.0,769,686,,0,125.0,,,,,,,,,,
4,motorcycle:6,593.0,708,694,,125,0.0,,,,,,,,,,
0,car:1,0.0,1306,1266,,575,594.0,,,,,,,,,,
1,motorcycle:2,1306.0,0,400,,773,716.0,,,,,,,,,,
2,person:3,1266.0,400,0,,692,699.0,,,,,,,,,,
3,person:5,575.0,773,692,,0,119.0,,,,,,,,,,
4,motorcycle:6,594.0,716,699,,119,0.0,,,,,,,,,,
0,car:1,0.0,1315,1271,,579,599.0,,,,,,,,,,
1,motorcycle:2,1315.0,0,400,,776,719.0,,,,,,,,,,
2,person:3,1271.0,400,0,,692,699.0,,,,,,,,,,
3,person:5,579.0,776,692,,0,119.0,,,,,,,,,,
4,motorcycle:6,599.0,719,699,,119,0.0,,,,,,,,,,
0,car:1,0.0,1315,1276,,585,602.0,,,,,,,,,,
1,motorcycle:2,1315.0,0,387,,772,719.0,,,,,,,,,,
2,person:3,1276.0,387,0,,690,695.0,,,,,,,,,,
3,person:5,585.0,772,690,,0,112.0,,,,,,,,,,
4,motorcycle:6,602.0,719,695,,112,0.0,,,,,,,,,,
0,car:1,0.0,1323,1282,,584,601.0,,,,,,,,,,
1,motorcycle:2,1323.0,0,393,,784,727.0,,,,,,,,,,
2,person:3,1282.0,393,0,,697,705.0,,,,,,,,,,
3,person:5,584.0,784,697,,0,123.0,,,,,,,,,,
4,motorcycle:6,601.0,727,705,,123,0.0,,,,,,,,,,
0,car:1,0.0,1330,1292,,583,599.0,,,,,,,,,,
1,motorcycle:2,1330.0,0,373,,789,734.0,,,,,,,,,,
2,person:3,1292.0,373,0,,708,718.0,,,,,,,,,,
3,person:5,583.0,789,708,,0,133.0,,,,,,,,,,
4,motorcycle:6,599.0,734,718,,133,0.0,,,,,,,,,,
0,car:1,0.0,1343,1304,,587,600.0,,,,,,,,,,
1,motorcycle:2,1343.0,0,376,,797,745.0,,,,,,,,,,
2,person:3,1304.0,376,0,,717,730.0,,,,,,,,,,
3,person:5,587.0,797,717,,0,133.0,,,,,,,,,,
4,motorcycle:6,600.0,745,730,,133,0.0,,,,,,,,,,
0,car:1,0.0,1350,1313,,591,604.0,,,,,,,,,,
1,motorcycle:2,1350.0,0,369,,797,747.0,,,,,,,,,,
2,person:3,1313.0,369,0,,722,735.0,,,,,,,,,,
3,person:5,591.0,797,722,,0,129.0,,,,,,,,,,
4,motorcycle:6,604.0,747,735,,129,0.0,,,,,,,,,,
0,car:1,0.0,1359,1320,,593,612.0,,,,,,,,,,
1,motorcycle:2,1359.0,0,374,,803,748.0,,,,,,,,,,
2,person:3,1320.0,374,0,,726,735.0,,,,,,,,,,
3,person:5,593.0,803,726,,0,131.0,,,,,,,,,,
4,motorcycle:6,612.0,748,735,,131,0.0,,,,,,,,,,
0,car:1,0.0,687,658,238.0,327,,,,,,,,,,,
1,motorcycle:2,687.0,0,216,921.0,386,,,,,,,,,,,
2,person:3,658.0,216,0,896.0,330,,,,,,,,,,,
3,car:4,238.0,921,896,0.0,566,,,,,,,,,,,
4,person:5,327.0,386,330,566.0,0,,,,,,,,,,,
0,car:1,0.0,718,696,273.0,328,341.0,,,,,,,,,,
1,motorcycle:2,718.0,0,189,988.0,412,378.0,,,,,,,,,,
2,person:3,696.0,189,0,970.0,368,387.0,,,,,,,,,,
3,car:4,273.0,988,970,0.0,602,610.0,,,,,,,,,,
4,person:5,328.0,412,368,602.0,0,110.0,,,,,,,,,,
5,motorcycle:6,341.0,378,387,610.0,110,0.0,,,,,,,,,,
0,car:1,0.0,1369,1326,,600,622.0,,,,,,,,,,
1,motorcycle:2,1369.0,0,376,,807,748.0,,,,,,,,,,
2,person:3,1326.0,376,0,,726,733.0,,,,,,,,,,
3,person:5,600.0,807,726,,0,134.0,,,,,,,,,,
4,motorcycle:6,622.0,748,733,,134,0.0,,,,,,,,,,
0,car:1,0.0,1377,1332,,601,613.0,,,,,,,,,,
1,motorcycle:2,1377.0,0,379,,814,766.0,,,,,,,,,,
2,person:3,1332.0,379,0,,730,743.0,,,,,,,,,,
3,person:5,601.0,814,730,,0,123.0,,,,,,,,,,
4,motorcycle:6,613.0,766,743,,123,0.0,,,,,,,,,,
0,car:1,0.0,1384,1335,,605,627.0,,,,,,,,,,
1,motorcycle:2,1384.0,0,396,,822,760.0,,,,,,,,,,
2,person:3,1335.0,396,0,,729,737.0,,,,,,,,,,
3,person:5,605.0,822,729,,0,138.0,,,,,,,,,,
4,motorcycle:6,627.0,760,737,,138,0.0,,,,,,,,,,
0,car:1,0.0,1381,1334,,606,635.0,,,,,,,,,,
1,motorcycle:2,1381.0,0,396,,816,748.0,,,,,,,,,,
2,person:3,1334.0,396,0,,728,727.0,,,,,,,,,,
3,person:5,606.0,816,728,,0,135.0,,,,,,,,,,
4,motorcycle:6,635.0,748,727,,135,0.0,,,,,,,,,,
0,car:1,0.0,1392,1348,,614,642.0,,,,,,,,,,
1,motorcycle:2,1392.0,0,393,,820,752.0,,,,,,,,,,
2,person:3,1348.0,393,0,,733,733.0,,,,,,,,,,
3,person:5,614.0,820,733,,0,135.0,,,,,,,,,,
4,motorcycle:6,642.0,752,733,,135,0.0,,,,,,,,,,
0,car:1,0.0,1395,1356,,621,647.0,,,,,,,,,,
1,motorcycle:2,1395.0,0,384,,817,752.0,,,,,,,,,,
2,person:3,1356.0,384,0,,734,732.0,,,,,,,,,,
3,person:5,621.0,817,734,,0,130.0,,,,,,,,,,
4,motorcycle:6,647.0,752,732,,130,0.0,,,,,,,,,,
0,car:1,0.0,1405,1369,,626,646.0,,,,,,,,,,
1,motorcycle:2,1405.0,0,390,,823,766.0,,,,,,,,,,
2,person:3,1369.0,390,0,,742,742.0,,,,,,,,,,
3,person:5,626.0,823,742,,0,117.0,,,,,,,,,,
4,motorcycle:6,646.0,766,742,,117,0.0,,,,,,,,,,
0,car:1,0.0,1412,1375,,629,649.0,,,,,,,,,,
1,motorcycle:2,1412.0,0,386,,828,769.0,,,,,,,,,,
2,person:3,1375.0,386,0,,745,744.0,,,,,,,,,,
3,person:5,629.0,828,745,,0,120.0,,,,,,,,,,
4,motorcycle:6,649.0,769,744,,120,0.0,,,,,,,,,,
0,car:1,0.0,1429,1385,,626,654.0,,,,,,,,,,
1,motorcycle:2,1429.0,0,389,,846,778.0,,,,,,,,,,
2,person:3,1385.0,389,0,,758,754.0,,,,,,,,,,
3,person:5,626.0,846,758,,0,134.0,,,,,,,,,,
4,motorcycle:6,654.0,778,754,,134,0.0,,,,,,,,,,
0,car:1,0.0,1440,1392,,627,656.0,,,,,,,,,,
1,motorcycle:2,1440.0,0,395,,857,789.0,,,,,,,,,,
2,person:3,1392.0,395,0,,765,757.0,,,,,,,,,,
3,person:5,627.0,857,765,,0,127.0,,,,,,,,,,
4,motorcycle:6,656.0,789,757,,127,0.0,,,,,,,,,,
0,car:1,0.0,720,698,278.0,328,341.0,,,,,,,,,,
1,motorcycle:2,720.0,0,184,993.0,413,379.0,,,,,,,,,,
2,person:3,698.0,184,0,976.0,369,386.0,,,,,,,,,,
3,car:4,278.0,993,976,0.0,606,614.0,,,,,,,,,,
4,person:5,328.0,413,369,606.0,0,108.0,,,,,,,,,,
5,motorcycle:6,341.0,379,386,614.0,108,0.0,,,,,,,,,,
0,car:1,0.0,1457,1405,,630,657.0,,,,,,,,,,
1,motorcycle:2,1457.0,0,402,,868,802.0,,,,,,,,,,
2,person:3,1405.0,402,0,,774,774.0,,,,,,,,,,
3,person:5,630.0,868,774,,0,137.0,,,,,,,,,,
4,motorcycle:6,657.0,802,774,,137,0.0,,,,,,,,,,
0,car:1,0.0,1463,1417,,640,664.0,,,,,,,,,,
1,motorcycle:2,1463.0,0,394,,864,802.0,,,,,,,,,,
2,person:3,1417.0,394,0,,776,777.0,,,,,,,,,,
3,person:5,640.0,864,776,,0,133.0,,,,,,,,,,
4,motorcycle:6,664.0,802,777,,133,0.0,,,,,,,,,,
0,car:1,0.0,1469,1427,,655,679.0,,,,,,,,,,
1,motorcycle:2,1469.0,0,385,,850,792.0,,,,,,,,,,
2,person:3,1427.0,385,0,,772,772.0,,,,,,,,,,
3,person:5,655.0,850,772,,0,124.0,,,,,,,,,,
4,motorcycle:6,679.0,792,772,,124,0.0,,,,,,,,,,
0,car:1,0.0,1472,1433,,671,691.0,,,,,,,,,,
1,motorcycle:2,1472.0,0,393,,840,784.0,,,,,,,,,,
2,person:3,1433.0,393,0,,763,766.0,,,,,,,,,,
3,person:5,671.0,840,763,,0,122.0,,,,,,,,,,
4,motorcycle:6,691.0,784,766,,122,0.0,,,,,,,,,,
0,car:1,0.0,1480,1443,,676,697.0,,,,,,,,,,
1,motorcycle:2,1480.0,0,389,,843,786.0,,,,,,,,,,
2,person:3,1443.0,389,0,,767,770.0,,,,,,,,,,
3,person:5,676.0,843,767,,0,128.0,,,,,,,,,,
4,motorcycle:6,697.0,786,770,,128,0.0,,,,,,,,,,
0,car:1,0.0,1492,1454,,681,703.0,,,,,,,,,,
1,motorcycle:2,1492.0,0,389,,852,793.0,,,,,,,,,,
2,person:3,1454.0,389,0,,772,774.0,,,,,,,,,,
3,person:5,681.0,852,772,,0,129.0,,,,,,,,,,
4,motorcycle:6,703.0,793,774,,129,0.0,,,,,,,,,,
0,car:1,0.0,1500,1463,,687,707.0,,,,,,,,,,
1,motorcycle:2,1500.0,0,384,,853,796.0,,,,,,,,,,
2,person:3,1463.0,384,0,,775,779.0,,,,,,,,,,
3,person:5,687.0,853,775,,0,131.0,,,,,,,,,,
4,motorcycle:6,707.0,796,779,,131,0.0,,,,,,,,,,
0,car:1,0.0,1507,1471,,694,710.0,,,,,,,,,,
1,motorcycle:2,1507.0,0,382,,853,799.0,,,,,,,,,,
2,person:3,1471.0,382,0,,777,784.0,,,,,,,,,,
3,person:5,694.0,853,777,,0,133.0,,,,,,,,,,
4,motorcycle:6,710.0,799,784,,133,0.0,,,,,,,,,,
0,car:1,0.0,1513,1478,,705,719.0,,,,,,,,,,
1,motorcycle:2,1513.0,0,383,,848,797.0,,,,,,,,,,
2,person:3,1478.0,383,0,,773,779.0,,,,,,,,,,
3,person:5,705.0,848,773,,0,121.0,,,,,,,,,,
4,motorcycle:6,719.0,797,779,,121,0.0,,,,,,,,,,
0,car:1,0.0,1517,1483,,707,732.0,,,,,,,,,,
1,motorcycle:2,1517.0,0,373,,852,789.0,,,,,,,,,,
2,person:3,1483.0,373,0,,776,772.0,,,,,,,,,,
3,person:5,707.0,852,776,,0,132.0,,,,,,,,,,
4,motorcycle:6,732.0,789,772,,132,0.0,,,,,,,,,,
0,car:1,0.0,723,701,281.0,329,342.0,,,,,,,,,,
1,motorcycle:2,723.0,0,184,999.0,415,381.0,,,,,,,,,,
2,person:3,701.0,184,0,982.0,372,388.0,,,,,,,,,,
3,car:4,281.0,999,982,0.0,610,617.0,,,,,,,,,,
4,person:5,329.0,415,372,610.0,0,106.0,,,,,,,,,,
5,motorcycle:6,342.0,381,388,617.0,106,0.0,,,,,,,,,,
0,car:1,0.0,1526,1490,,713,734.0,,,,,,,,,,
1,motorcycle:2,1526.0,0,377,,858,795.0,,,,,,,,,,
2,person:3,1490.0,377,0,,776,777.0,,,,,,,,,,
3,person:5,713.0,858,776,,0,139.0,,,,,,,,,,
4,motorcycle:6,734.0,795,777,,139,0.0,,,,,,,,,,
0,car:1,0.0,1536,1497,,721,747.0,,,,,,,,,,
1,motorcycle:2,1536.0,0,391,,863,795.0,,,,,,,,,,
2,person:3,1497.0,391,0,,776,768.0,,,,,,,,,,
3,person:5,721.0,863,776,,0,130.0,,,,,,,,,,
4,motorcycle:6,747.0,795,768,,130,0.0,,,,,,,,,,
0,car:1,0.0,1544,1508,,737,755.0,,,,,,,,,,
1,motorcycle:2,1544.0,0,401,,854,795.0,,,,,,,,,,
2,person:3,1508.0,401,0,,770,774.0,,,,,,,,,,
3,person:5,737.0,854,770,,0,128.0,,,,,,,,,,
4,motorcycle:6,755.0,795,774,,128,0.0,,,,,,,,,,
0,car:1,0.0,1552,1520,,750,765.0,,,,,,,,,,
1,motorcycle:2,1552.0,0,408,,851,794.0,,,,,,,,,,
2,person:3,1520.0,408,0,,770,776.0,,,,,,,,,,
3,person:5,750.0,851,770,,0,126.0,,,,,,,,,,
4,motorcycle:6,765.0,794,776,,126,0.0,,,,,,,,,,
0,car:1,0.0,1564,1534,,762,773.0,,,,,,,,,,
1,motorcycle:2,1564.0,0,388,,854,798.0,,,,,,,,,,
2,person:3,1534.0,388,0,,772,778.0,,,,,,,,,,
