,Unnamed: 0,person1,person2,bench3,file
314,bench3,775,262.0,0,20
315,person1,0,,740,200
316,bench3,740,,0,200
317,person1,0,109.0,740,201
318,bench3,740,802.0,0,201
319,person2,109,0.0,802,201
320,person1,0,109.0,741,202
321,bench3,741,805.0,0,202
322,person2,109,0.0,805,202
323,person1,0,508.0,771,21
324,person2,508,0.0,263,21
325,bench3,771,263.0,0,21
326,person1,0,502.0,769,22
327,person2,502,0.0,267,22
328,bench3,769,267.0,0,22
329,person1,0,497.0,767,23
330,person2,497,0.0,270,23
331,bench3,767,270.0,0,23
332,person1,0,491.0,765,24
333,person2,491,0.0,275,24
334,bench3,765,275.0,0,24
335,person1,0,483.0,764,25
336,person2,483,0.0,281,25
337,bench3,764,281.0,0,25
338,person1,0,470.0,760,26
339,person2,470,0.0,290,26
340,bench3,760,290.0,0,26
341,person1,0,455.0,756,27
342,person2,455,0.0,302,27
343,bench3,756,302.0,0,27
344,person1,0,443.0,754,28
345,person2,443,0.0,314,28
346,bench3,754,314.0,0,28
347,person1,0,434.0,753,29
348,person2,434,0.0,322,29
349,bench3,753,322.0,0,29
350,person1,0,529.0,688,3
351,person2,529,0.0,160,3
352,bench3,688,160.0,0,3
353,person1,0,425.0,750,30
354,person2,425,0.0,329,30
355,bench3,750,329.0,0,30
356,person1,0,418.0,746,31
357,person2,418,0.0,332,31
358,bench3,746,332.0,0,31
359,person1,0,413.0,743,32
360,person2,413,0.0,334,32
361,bench3,743,334.0,0,32
362,person1,0,409.0,742,33
363,person2,409,0.0,337,33
364,bench3,742,337.0,0,33
365,person1,0,404.0,742,34
366,person2,404,0.0,341,34
367,bench3,742,341.0,0,34
368,person1,0,398.0,741,35
369,person2,398,0.0,346,35
370,bench3,741,346.0,0,35
371,person1,0,392.0,739,36
372,person2,392,0.0,349,36
373,bench3,739,349.0,0,36
374,person1,0,385.0,736,37
375,person2,385,0.0,354,37
376,bench3,736,354.0,0,37
377,person1,0,379.0,734,38
378,person2,379,0.0,358,38
379,bench3,734,358.0,0,38
380,person1,0,372.0,731,39
381,person2,372,0.0,362,39
382,bench3,731,362.0,0,39
383,person1,0,529.0,748,4
384,person2,529,0.0,219,4
385,bench3,748,219.0,0,4
386,person1,0,368.0,730,40
387,person2,368,0.0,366,40
388,bench3,730,366.0,0,40
389,person1,0,366.0,730,41
390,person2,366,0.0,369,41
391,bench3,730,369.0,0,41
392,person1,0,365.0,732,42
393,person2,365,0.0,371,42
394,bench3,732,371.0,0,42
395,person1,0,363.0,733,43
396,person2,363,0.0,374,43
397,bench3,733,374.0,0,43
398,person1,0,358.0,732,44
399,person2,358,0.0,378,44
400,bench3,732,378.0,0,44
401,person1,0,352.0,731,45
402,person2,352,0.0,383,45
403,bench3,731,383.0,0,45
404,person1,0,347.0,730,46
405,person2,347,0.0,387,46
406,bench3,730,387.0,0,46
407,person1,0,343.0,729,47
408,person2,343,0.0,391,47
409,bench3,729,391.0,0,47
410,person1,0,337.0,728,48
411,person2,337,0.0,397,48
412,bench3,728,397.0,0,48
413,person1,0,328.0,725,49
414,person2,328,0.0,403,49
415,bench3,725,403.0,0,49
416,person1,0,530.0,770,5
417,person2,530,0.0,239,5
418,bench3,770,239.0,0,5
419,person1,0,321.0,723,50
420,person2,321,0.0,410,50
421,bench3,723,410.0,0,50
422,person1,0,318.0,722,51
423,person2,318,0.0,413,51
424,bench3,722,413.0,0,51
425,person1,0,314.0,723,52
426,person2,314,0.0,417,52
427,bench3,723,417.0,0,52
428,person1,0,312.0,724,53
429,person2,312,0.0,421,53
430,bench3,724,421.0,0,53
431,person1,0,308.0,725,54
432,person2,308,0.0,425,54
433,bench3,725,425.0,0,54
434,person1,0,304.0,727,55
435,person2,304,0.0,430,55
436,bench3,727,430.0,0,55
437,person1,0,297.0,725,56
438,person2,297,0.0,434,56
439,bench3,725,434.0,0,56
440,person1,0,292.0,724,57
441,person2,292,0.0,438,57
442,bench3,724,438.0,0,57
443,person1,0,287.0,723,58
444,person2,287,0.0,441,58
445,bench3,723,441.0,0,58
446,person1,0,283.0,722,59
447,person2,283,0.0,444,59
448,bench3,722,444.0,0,59
449,person1,0,533.0,777,6
450,person2,533,0.0,244,6
451,bench3,777,244.0,0,6
452,person1,0,280.0,722,60
453,person2,280,0.0,447,60
454,bench3,722,447.0,0,60
455,person1,0,278.0,723,61
456,person2,278,0.0,450,61
457,bench3,723,450.0,0,61
458,person1,0,278.0,723,62
459,person2,278,0.0,451,62
460,bench3,723,451.0,0,62
461,person1,0,277.0,724,63
462,person2,277,0.0,453,63
463,bench3,724,453.0,0,63
464,person1,0,276.0,725,64
465,person2,276,0.0,456,64
466,bench3,725,456.0,0,64
467,person1,0,274.0,726,65
468,person2,274,0.0,458,65
469,bench3,726,458.0,0,65
470,person1,0,271.0,726,66
471,person2,271,0.0,461,66
472,bench3,726,461.0,0,66
473,person1,0,270.0,726,67
474,person2,270,0.0,463,67
475,bench3,726,463.0,0,67
476,person1,0,266.0,725,68
477,person2,266,0.0,466,68
478,bench3,725,466.0,0,68
479,person1,0,259.0,724,69
480,person2,259,0.0,472,69
481,bench3,724,472.0,0,69
482,person1,0,537.0,781,7
483,person2,537,0.0,243,7
484,bench3,781,243.0,0,7
485,person1,0,256.0,724,70
486,person2,256,0.0,476,70
487,bench3,724,476.0,0,70
488,person1,0,255.0,727,71
489,person2,255,0.0,481,71
490,bench3,727,481.0,0,71
491,person1,0,254.0,730,72
492,person2,254,0.0,485,72
493,bench3,730,485.0,0,72
494,person1,0,256.0,733,73
495,person2,256,0.0,486,73
496,bench3,733,486.0,0,73
497,person1,0,258.0,737,74
498,person2,258,0.0,489,74
499,bench3,737,489.0,0,74
500,person1,0,258.0,741,75
501,person2,258,0.0,492,75
502,bench3,741,492.0,0,75
503,person1,0,259.0,746,76
504,person2,259,0.0,496,76
505,bench3,746,496.0,0,76
506,person1,0,260.0,751,77
507,person2,260,0.0,498,77
508,bench3,751,498.0,0,77
509,person1,0,260.0,755,78
510,person2,260,0.0,501,78
511,bench3,755,501.0,0,78
512,person1,0,259.0,758,79
513,person2,259,0.0,505,79
514,bench3,758,505.0,0,79
515,person1,0,541.0,786,8
516,person2,541,0.0,245,8
517,bench3,786,245.0,0,8
518,person1,0,258.0,763,80
519,person2,258,0.0,509,80
520,bench3,763,509.0,0,80
521,person1,0,258.0,767,81
522,person2,258,0.0,513,81
523,bench3,767,513.0,0,81
524,person1,0,258.0,771,82
525,person2,258,0.0,517,82
526,bench3,771,517.0,0,82
527,person1,0,261.0,777,83
528,person2,261,0.0,520,83
529,bench3,777,520.0,0,83
530,person1,0,264.0,782,84
531,person2,264,0.0,522,84
532,bench3,782,522.0,0,84
533,person1,0,268.0,788,85
534,person2,268,0.0,525,85
535,bench3,788,525.0,0,85
536,person1,0,271.0,793,86
537,person2,271,0.0,527,86
538,bench3,793,527.0,0,86
539,person1,0,272.0,796,87
540,person2,272,0.0,530,87
541,bench3,796,530.0,0,87
542,person1,0,271.0,798,88
543,person2,271,0.0,533,88
544,bench3,798,533.0,0,88
545,person1,0,269.0,799,89
546,person2,269,0.0,536,89
547,bench3,799,536.0,0,89
548,person1,0,541.0,791,9
549,person2,541,0.0,249,9
550,bench3,791,249.0,0,9
551,person1,0,267.0,798,90
552,person2,267,0.0,538,90
553,bench3,798,538.0,0,90
554,person1,0,263.0,797,91
555,person2,263,0.0,541,91
556,bench3,797,541.0,0,91
557,person1,0,260.0,797,92
558,person2,260,0.0,543,92
559,bench3,797,543.0,0,92
560,person1,0,258.0,797,93
561,person2,258,0.0,545,93
562,bench3,797,545.0,0,93
563,person1,0,253.0,795,94
564,person2,253,0.0,547,94
565,bench3,795,547.0,0,94
566,person1,0,249.0,794,95
567,person2,249,0.0,550,95
568,bench3,794,550.0,0,95
569,person1,0,243.0,792,96
570,person2,243,0.0,554,96
571,bench3,792,554.0,0,96
572,person1,0,233.0,790,97
573,person2,233,0.0,562,97
574,bench3,790,562.0,0,97
575,person1,0,223.0,786,98
576,person2,223,0.0,570,98
577,bench3,786,570.0,0,98
578,person1,0,215.0,781,99
579,person2,215,0.0,575,99
580,bench3,781,575.0,0,99
