,Unnamed: 0,person1,bench3,person2,filename
163,person1,0,782,264.0,84
164,person2,264,522,0.0,84
165,bench3,782,0,522.0,84
166,person1,0,797,260.0,92
167,person2,260,543,0.0,92
168,bench3,797,0,543.0,92
169,person1,0,677,135.0,178
170,bench3,677,0,740.0,178
171,person2,135,740,0.0,178
172,person1,0,793,271.0,86
173,person2,271,527,0.0,86
174,bench3,793,0,527.0,86
175,person1,0,639,141.0,150
176,bench3,639,0,709.0,150
177,person2,141,709,0.0,150
178,person1,0,638,,144
179,bench3,638,0,,144
180,person1,0,722,318.0,51
181,person2,318,413,0.0,51
182,bench3,722,0,413.0,51
183,person1,0,688,529.0,3
184,person2,529,160,0.0,3
185,bench3,688,0,160.0,3
186,person1,0,731,352.0,45
187,person2,352,383,0.0,45
188,bench3,731,0,383.0,45
189,person1,0,738,,193
190,bench3,738,0,,193
191,person1,0,705,121.0,187
192,bench3,705,0,767.0,187
193,person2,121,767,0.0,187
194,person1,0,758,259.0,79
195,person2,259,505,0.0,79
196,bench3,758,0,505.0,79
197,person1,0,700,118.0,186
198,bench3,700,0,765.0,186
199,person2,118,765,0.0,186
200,person1,0,755,260.0,78
201,person2,260,501,0.0,78
202,bench3,755,0,501.0,78
203,person1,0,733,,192
204,bench3,733,0,,192
205,person1,0,732,358.0,44
206,person2,358,378,0.0,44
207,bench3,732,0,378.0,44
208,person1,0,723,321.0,50
209,person2,321,410,0.0,50
210,bench3,723,0,410.0,50
211,person1,0,682,536.0,2
212,person2,536,148,0.0,2
213,bench3,682,0,148.0,2
214,person1,0,638,,145
215,bench3,638,0,,145
216,person1,0,641,139.0,151
217,bench3,641,0,710.0,151
218,person2,139,710,0.0,151
219,person1,0,680,137.0,179
220,bench3,680,0,742.0,179
221,person2,137,742,0.0,179
222,person1,0,796,272.0,87
223,person2,272,530,0.0,87
224,bench3,796,0,530.0,87
225,person1,0,797,258.0,93
226,person2,258,545,0.0,93
227,bench3,797,0,545.0,93
228,person1,0,673,,136
229,bench3,673,0,,136
230,person1,0,724,115.0,122
231,person2,115,635,0.0,122
232,bench3,724,0,635.0,122
233,person1,0,736,385.0,37
234,person2,385,354,0.0,37
235,bench3,736,0,354.0,37
236,person1,0,767,497.0,23
237,person2,497,270,0.0,23
238,bench3,767,0,270.0,23
239,person1,0,769,502.0,22
240,person2,502,267,0.0,22
241,bench3,769,0,267.0,22
242,person1,0,739,392.0,36
243,person2,392,349,0.0,36
244,bench3,739,0,349.0,36
245,person1,0,723,116.0,123
246,person2,116,635,0.0,123
247,bench3,723,0,635.0,123
248,person1,0,668,,137
249,bench3,668,0,,137
250,person1,0,727,111.0,121
251,person2,111,639,0.0,121
252,bench3,727,0,639.0,121
253,person1,0,679,,135
254,bench3,679,0,,135
255,person1,0,756,158.0,109
256,person2,158,615,0.0,109
257,bench3,756,0,615.0,109
258,person1,0,775,514.0,20
259,person2,514,262,0.0,20
260,bench3,775,0,262.0,20
261,person1,0,742,404.0,34
262,person2,404,341,0.0,34
263,bench3,742,0,341.0,34
264,person1,0,741,398.0,35
265,person2,398,346,0.0,35
266,bench3,741,0,346.0,35
267,person1,0,771,508.0,21
268,person2,508,263,0.0,21
269,bench3,771,0,263.0,21
270,person1,0,759,161.0,108
271,person2,161,613,0.0,108
272,bench3,759,0,613.0,108
273,person1,0,685,,134
274,bench3,685,0,,134
275,person1,0,730,109.0,120
276,person2,109,644,0.0,120
277,bench3,730,0,644.0,120
278,person1,0,738,128.0,118
279,person2,128,637,0.0,118
280,bench3,738,0,637.0,118
281,person1,0,722,119.0,124
282,person2,119,633,0.0,124
283,bench3,722,0,633.0,124
284,person1,0,705,,130
285,bench3,705,0,,130
286,person1,0,764,483.0,25
287,person2,483,281,0.0,25
288,bench3,764,0,281.0,25
289,person1,0,746,418.0,31
290,person2,418,332,0.0,31
291,bench3,746,0,332.0,31
292,person1,0,780,520.0,19
293,person2,520,261,0.0,19
294,bench3,780,0,261.0,19
295,person1,0,783,519.0,18
296,person2,519,264,0.0,18
297,bench3,783,0,264.0,18
298,person1,0,750,425.0,30
299,person2,425,329,0.0,30
